organization_name	datasource	primary_account	datasource_account	datasource_account_name	primary_account_name
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-35	Carpet - Bus Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-39	Other - Bus Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-41	Exterior Upgrades - Model	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-42	Interior Upgrades - Model	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-43	Furnishings - Model	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-44	Equipment - Model	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-45	Carpet - Model	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-49	Other - Model	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-90	Other - Admin Bldgs	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-01	Signage - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-02	ADA Compliance - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-03	Elevators - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-04	Fire/Security System - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-05	Lead Paint Compliance - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-06	Utility Conservation - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-07	Equipment - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-08	Architectual Fees - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-09	Consulting Fees - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-10	Contingency - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-11	Mold Compliance - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-12	Supervision Fees - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1659-90	Other - Misc	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record utility recovery or reimbursements	4791-00	Utility Reimbursement-Water	Total Utility Recovery
BH Management	BH Management - BH Management	GL Items & Total: Select all that record utility recovery or reimbursements	4792-00	Utility Reimbursement-Gas	Total Utility Recovery
BH Management	BH Management - BH Management	GL Items & Total: Select all that record utility recovery or reimbursements	4793-00	Utility Reimbursement-Electric	Total Utility Recovery
BH Management	BH Management - BH Management	GL Items & Total: Select all that record utility recovery or reimbursements	4799-00	Utility Reimbursement-Other	Total Utility Recovery
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4605-00	Non-Refundable Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4606-00	Non-Refundable Pet Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4606-01	One-Time Pet Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4610-00	Application Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4620-00	Late Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4630-00	NSF Check Charges	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4650-00	Lease Termination Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4660-00	Bad Debt Recovery	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4680-00	Damage Repair Recovery	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4690-00	Interest Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4695-00	Garage/Carport Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4700-00	Storage Unit Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4705-00	Cable TV Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4710-00	Internet Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4720-00	Telephone Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4730-00	Vending Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4740-00	Laundry Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4745-00	Washer/Dryer Rental Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4750-00	Furniture Rental Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4760-00	Month to Month Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4770-00	Special Facility Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4771-00	Retail Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4772-00	After School Program	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4775-00	Dues/Fees Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4780-00	Corporate Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4791-00	Utility Reimbursement-Water	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4792-00	Utility Reimbursement-Gas	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4793-00	Utility Reimbursement-Electric	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4794-00	Utility Reimbursement-Trash	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4795-00	Utility Reimbursement-Valet Trash	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4799-00	Utility Reimbursement-Other	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4810-00	Pest Control Rebill	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4820-00	Transfer Fees	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4830-00	Locks and Keys	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4840-00	Security Alarm Service	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4850-00	Legal Hourly Fee	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4910-00	Renters Insurance	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4990-00	Miscellaneous Income	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record other income	4995-00	Non-Rent Write-Offs	Other Income Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4510-00	Vacancy Loss	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4510-01	Vacancy Loss-Down Unit	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4530-00	One-Time Rent Concessions	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4530-01	Concession-Resident Services	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4531-00	Recurring Rent Concessions	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4535-00	Concession Chargback	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4540-00	Bad Debt-Rent Write-Off	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4550-00	Model/Admin Units	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4551-00	Employee Units	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4551-01	Security Units	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record rent losses	4560-00	Cash Basis Deductions	Rent Loss Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7110-00	Electricity	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7111-00	Vacant Electricity	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7115-00	Vacant Electricity-Recovery	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7120-00	Gas	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7121-00	Vacant Gas	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7125-00	Vacant Gas-Recovery	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7130-00	Oil/Fuel	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7140-00	Water/Sewer	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7150-00	Utilities Residents	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7180-00	Meter Read/Submetering Service	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7180-01	Irrigation Monitoring	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7190-00	Other Utilities	Utility Expense Items
BH Management	BH Management - BH Management	GL Items: Select all that record utility expenses	7195-00	Utility Conservation	Utility Expense Items
BH Management	BH Management - BH Management	Mirror tags for Net Income		Net Income	4. Net Income
BH Management	BH Management - BH Management	Mirror tags for Net Operating Income		Net Operating Income	3. Net Operating Income
BH Management	BH Management - BH Management	Mirror tags for Total Expenses		Total Operating Expenses	2. Total Expenses
BH Management	BH Management - BH Management	Mirror tags for Total Revenue		Total Income	1. Total Revenue
BH Management	BH Management - BH Management	Select the expense category to display 1st		Total Operating Expenses	Expense Category 01
BH Management	BH Management - BH Management	Select the expense category to display 2nd		Total Repairs and Maintenance	Expense Category 02
BH Management	BH Management - BH Management	Select the expense category to display 3rd		Total Labor Costs	Expense Category 03
BH Management	BH Management - BH Management	Select the expense category to display 4th		Total Advertising and Promotions	Expense Category 04
BH Management	BH Management - BH Management	Select the expense category to display 5th		Total General and Administrative Costs	Expense Category 05
BH Management	BH Management - BH Management	Select the expense category to display 6th		Total Utility Costs	Expense Category 06
BH Management	BH Management - BH Management	Select the expense category to display 7th		Total Other Property Expenses	Expense Category 07
BH Management	BH Management - BH Management	Total: Choose the single line item that equals NOI		Net Operating Income	Net Operating Income
BH Management	BH Management - BH Management	Total: Select all that record bad debt recovery or collections	4660-00	Bad Debt Recovery	Bad Debt Recovery
BH Management	BH Management - BH Management	Total: Select all that record bad debt write-offs	4540-00	Bad Debt-Rent Write-Off	Bad Debt Expense
BH Management	BH Management - BH Management	Total: Select all that record bad debt write-offs	4995-00	Non-Rent Write-Offs	Bad Debt Expense
BH Management	BH Management - BH Management	Total: Select all that record electric utility expenses	7110-00	Electricity	Electric Expense
BH Management	BH Management - BH Management	Total: Select all that record electric utility expenses	7111-00	Vacant Electricity	Electric Expense
BH Management	BH Management - BH Management	Total: Select all that record electric utility expenses	7115-00	Vacant Electricity-Recovery	Electric Expense
BH Management	BH Management - BH Management	Total: Select all that record electric utility recovery	4793-00	Utility Reimbursement-Electric	Electric Recovery
BH Management	BH Management - BH Management	Total: Select all that record gas utility expenses	7120-00	Gas	Gas Expense
BH Management	BH Management - BH Management	Total: Select all that record gas utility expenses	7121-00	Vacant Gas	Gas Expense
BH Management	BH Management - BH Management	Total: Select all that record gas utility expenses	7125-00	Vacant Gas-Recovery	Gas Expense
BH Management	BH Management - BH Management	Total: Select all that record gas utility recovery	4792-00	Utility Reimbursement-Gas	Gas Recovery
BH Management	BH Management - BH Management	Total: Select all that record trash or waste expenses	5380-00	Trash Removal-Supplies	Trash Expense
BH Management	BH Management - BH Management	Total: Select all that record trash or waste expenses	5380-01	Trash Removal-Contract Labor	Trash Expense
BH Management	BH Management - BH Management	Total: Select all that record trash or waste expenses	7580-00	Valet Trash	Trash Expense
BH Management	BH Management - BH Management	Total: Select all that record trash or waste recovery	4794-00	Utility Reimbursement-Trash	Trash Recovery
BH Management	BH Management - BH Management	Total: Select all that record trash or waste recovery	4795-00	Utility Reimbursement-Valet Trash	Trash Recovery
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	5200-00	Exterminating/Pest Control-Supplies	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	5200-01	Exterminating/Pest Control-Contract	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	5201-00	Exterminating/Pest Control-Termites	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	7150-00	Utilities Residents	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	7180-00	Meter Read/Submetering Service	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	7180-01	Irrigation Monitoring	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	7190-00	Other Utilities	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility expenses other than gas, electric, water or trash	7195-00	Utility Conservation	Other Utility Expense
BH Management	BH Management - BH Management	Total: Select all that record utility recovery other than gas, electric, water or trash	4799-00	Utility Reimbursement-Other	Other Utility Recovery
BH Management	BH Management - BH Management	Total: Select all that record utility recovery other than gas, electric, water or trash	4810-00	Pest Control Rebill	Other Utility Recovery
BH Management	BH Management - BH Management	Total: Select all that record water and sewer utility expenses	7140-00	Water/Sewer	Water Expense
BH Management	BH Management - BH Management	Total: Select all that record water and sewer utility recovery	4791-00	Utility Reimbursement-Water	Water Recovery
BH Management	BH Management - BH Management	Total: Select one or all that equal gross potential rent		Total Gross Potential Rent	Gross Potential Rent
BH Management	BH Management - BH Management	Total: Select one or all that equal net income		Net Income	Net Income
BH Management	BH Management - BH Management	Total: Select one or all that equal net potential rent		Total Gross Potential Rent	Net Potential Rent
BH Management	BH Management - BH Management	Total: Select one or all that equal net rental income		Net Rental Income	Net Rental Income
BH Management	BH Management - BH Management	Total: Select one or all that equal total administrative expenses		Total General and Administrative Costs	Admin Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total capital expenditures		Total Capital Expense & Fixed Assets	Total Capex Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total concessions	4530-00	One-Time Rent Concessions	Concessions
BH Management	BH Management - BH Management	Total: Select one or all that equal total concessions	4531-00	Recurring Rent Concessions	Concessions
BH Management	BH Management - BH Management	Total: Select one or all that equal total controllable expenses		Total Controllable Expenses	Total Controllable Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total debt service		Total Debt Service-Entity Loans	Total Debt Service
BH Management	BH Management - BH Management	Total: Select one or all that equal total debt service		Total Debt Service-Property	Total Debt Service
BH Management	BH Management - BH Management	Total: Select one or all that equal total expenses		Total Operating Expenses	Total Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total insurance expenses		Total Insurance and Bonds	Insurance Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total loss to lease	4411-00	Gain(Loss) to Lease	Loss to Lease
BH Management	BH Management - BH Management	Total: Select one or all that equal total maintenance expenses		Total Repairs and Maintenance	Maintenance Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total management fees		Total Management Fees	Management Fees
BH Management	BH Management - BH Management	Total: Select one or all that equal total market rent	4400-00	Market Rent	Market Rent
BH Management	BH Management - BH Management	Total: Select one or all that equal total marketing expenses		Total Advertising and Promotions	Total Marketing Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total other income		Total Other Income	Total Other Income
BH Management	BH Management - BH Management	Total: Select one or all that equal total payroll		Total Labor Costs	Payroll Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total revenue		Total Income	Total Revenue
BH Management	BH Management - BH Management	Total: Select one or all that equal total taxes		Total Property Taxes	Tax Expenses
BH Management	BH Management - BH Management	Total: Select one or all that equal total utilities		Total Utility Costs	Total Utility Expense
BH Management	BH Management - BH Management	Total: Select one or all that equal total vacancy	4510-00	Vacancy Loss	Vacancy Cost
BH Management	BH Management - BH Management	Total: Select one or all that equal total vacancy	4510-01	Vacancy Loss-Down Unit	Vacancy Cost
